;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104
10;2.0;4.3;6.3;4.8;0.1;7.2;14.4;11.8;12.7;0.0;0.0;0.1;4.3;25.6;0.0;9.1;4.4;4.3;7.7;5.3;4.3;0.0;0.1;4.3;0.0;0.0;-0.2;4.3;3.4;11.4;4.3;0.0;7.9;0.0;4.3;0.0;3.1;6.3;14.5;13.2;0.0;28.0;7.9;9.0;14.8;37.6;38.5;30.9;33.3;38.4;26.6;30.9;26.6;26.6;36.1;0.0;0.1;4.3;25.6;0.0;82.3;4.3;-0.2;0.0;28.0;26.6;0.0;0.1;4.3;25.6;0.0;82.3;4.3;-0.2;0.0;28.0;26.6;82.3;0.0;0.1;4.3;25.4;0.0;40.4;4.3;-0.2;4.3;28.0;30.9;40.4;40.4;0.0;0.1;4.3;25.6;0.0;82.3;4.3;-0.2;0.0;28.0;26.6;82.3;82.3;40.4
11;7.7;0.4;0.4;0.0;10.1;0.4;-3.0;1.3;22.9;0.0;0.0;21.6;0.4;1.9;1.3;7.7;78.0;0.4;10.1;1.3;21.6;2.7;1.0;17.0;2.8;40.2;1.9;1.0;7.7;78.0;0.4;10.1;1.3;21.6;78.0;1.0;8.0;9.4;11.7;1.5;0.0;1.5;9.4;40.9;9.4;11.4;9.7;13.8;20.1;17.7;16.0;9.7;11.6;9.7;16.8;30.9;29.2;33.0;34.7;55.2;48.2;29.2;31.1;29.2;35.1;44.0;11.4;9.7;10.1;10.1;9.7;18.1;9.7;11.6;9.7;9.7;9.7;38.9;7.7;78.0;0.4;10.1;1.3;21.6;78.0;1.0;78.0;9.4;9.7;29.2;9.7;7.7;55.6;0.4;10.1;1.3;18.4;55.6;1.0;55.6;9.4;9.7;38.9;9.7;55.6
12;14.3;16.7;2.4;-0.3;22.4;4.3;6.5;1.7;9.5;1.7;13.0;37.8;4.6;9.0;1.7;14.3;69.2;2.4;22.4;1.7;37.8;4.9;5.2;36.5;11.9;22.6;5.2;5.2;14.3;69.2;2.4;22.4;1.7;37.8;69.2;5.2;15.6;6.9;3.3;6.2;0.8;0.8;6.9;20.7;6.9;26.7;9.2;23.6;23.2;11.5;15.1;9.2;14.4;9.2;21.1;14.3;69.2;2.4;22.4;1.7;37.8;69.2;5.2;69.2;6.9;9.2;16.1;9.2;11.6;14.4;15.1;21.7;9.2;14.4;9.2;18.1;9.2;9.2;7.4;63.2;4.6;17.9;1.7;11.4;63.2;5.2;63.2;6.9;9.2;63.2;9.2;14.3;69.2;2.4;22.4;1.7;37.8;69.2;5.2;69.2;6.9;9.2;69.2;9.2;63.2
13;2.0;1.3;1.3;2.0;2.0;8.6;15.1;10.3;6.8;7.2;12.5;12.9;23.4;0.6;0.0;-1.9;4.3;1.8;1.8;0.9;17.7;19.8;3.5;7.3;24.0;12.2;13.2;-1.8;1.3;1.3;-0.7;15.7;8.4;21.6;-2.5;-2.3;16.2;2.0;-0.7;14.2;8.1;0.6;0.0;-1.8;-0.5;16.2;2.0;-0.7;14.2;8.1;0.6;0.0;-1.8;-0.5;92.7;16.2;2.0;-0.7;14.2;8.1;0.6;0.0;-1.8;-0.5;92.7;92.7;16.2;2.0;-0.7;14.2;8.1;0.6;0.0;-1.8;-0.5;92.7;92.7;92.7;16.2;2.0;-0.7;14.2;8.1;0.6;0.0;-1.8;-0.5;92.7;92.7;92.7;92.7;1.9;2.0;6.6;14.2;8.1;0.6;0.0;15.0;-0.7;74.3;74.3;74.3;74.3;74.3
14;19.8;28.2;6.1;24.1;3.8;22.5;23.4;3.8;23.8;0.0;23.7;3.4;23.1;0.0;0.0;16.4;3.4;2.7;1.9;0.2;0.0;16.4;20.9;12.9;16.4;2.3;11.1;17.5;41.6;28.6;44.6;8.9;35.3;19.9;4.1;41.6;25.4;6.1;3.4;1.9;0.2;0.0;26.8;1.0;4.1;37.5;25.6;12.9;29.5;23.7;4.8;22.2;1.1;25.2;3.5;16.4;3.4;2.7;1.9;0.2;0.0;77.1;17.5;4.1;26.8;22.2;16.4;3.4;2.7;1.9;0.2;0.0;77.1;17.5;4.1;26.8;22.2;77.1;16.4;3.4;2.7;1.9;0.2;0.0;77.1;17.5;4.1;26.8;22.2;77.1;77.1;16.4;3.4;2.7;1.9;0.2;0.0;77.1;17.5;4.1;26.8;22.2;77.1;77.1;77.1
15;9.9;7.8;46.3;5.2;13.0;22.2;25.5;52.2;43.1;28.9;12.4;17.8;12.7;0.0;0.0;12.8;27.5;39.3;32.7;16.7;17.6;16.5;9.9;15.6;0.0;0.0;-0.2;10.1;16.5;27.5;39.3;20.0;21.4;2.9;2.9;4.3;9.3;9.9;8.4;28.9;28.9;29.7;2.9;8.6;2.9;38.7;37.9;36.4;2.9;31.8;28.0;2.9;30.9;2.9;30.9;-0.6;53.7;7.8;-0.6;14.2;14.2;2.9;0.0;2.9;0.0;2.9;9.3;9.9;8.4;28.9;28.9;29.7;2.9;8.6;2.9;96.6;30.9;0.0;9.3;9.9;8.4;28.9;28.9;29.7;2.9;8.6;2.9;96.6;30.9;0.0;96.6;9.3;9.9;8.4;28.9;28.9;29.7;2.9;8.6;2.9;96.6;30.9;0.0;96.6;96.6
16;9.4;8.6;6.4;6.1;3.2;2.1;12.3;18.2;17.7;6.0;7.5;29.1;24.6;0.0;0.0;7.5;1.9;1.1;8.5;6.0;0.0;11.6;3.7;1.1;0.0;0.0;0.0;4.1;7.5;1.9;1.1;8.5;6.0;0.0;71.8;4.1;7.5;1.9;1.1;8.5;6.0;0.0;71.8;4.1;71.8;7.5;22.8;8.6;24.2;14.2;8.2;0.0;1.8;0.0;0.0;19.4;5.3;4.5;5.9;13.4;7.5;10.8;12.6;10.8;10.8;7.4;8.6;21.3;4.5;11.5;17.3;3.9;0.0;0.0;0.0;0.0;0.0;7.4;9.4;1.9;8.6;8.5;6.0;0.0;28.1;28.1;28.1;28.1;2.3;7.2;21.4;7.5;1.9;1.1;8.5;6.0;0.0;64.7;3.9;64.7;64.7;0.0;10.8;0.0;28.1
17;7.7;29.1;1.4;9.0;1.7;16.4;16.1;0.2;22.6;0.8;16.2;-5.0;28.1;0.0;0.0;7.7;0.0;1.4;0.8;1.9;0.0;14.2;6.8;19.2;6.4;7.1;22.8;6.5;7.7;7.3;12.7;16.5;7.8;7.7;13.3;6.5;15.1;1.4;1.4;0.8;1.9;0.0;70.7;9.9;7.7;7.7;14.2;27.8;46.2;14.9;31.3;7.7;14.2;7.7;19.9;14.3;12.2;13.6;0.8;1.9;0.3;18.8;6.5;15.6;12.5;19.9;7.7;0.0;1.4;0.8;1.9;0.0;73.7;6.5;13.3;70.7;7.7;18.8;7.7;0.0;1.4;0.8;1.9;0.0;73.7;6.5;13.3;70.7;7.7;18.8;73.7;7.7;0.0;1.4;0.8;1.9;0.0;73.7;6.5;13.3;70.7;7.7;18.8;73.7;73.7
18;0.5;8.7;10.4;-0.4;3.4;8.8;1.1;16.3;28.0;1.1;7.8;19.2;19.3;0.5;0.0;-0.6;2.3;9.3;6.9;10.3;0.5;13.7;17.6;23.6;16.5;21.6;15.9;14.3;14.3;1.2;24.5;11.4;11.1;11.1;0.0;14.3;0.5;2.3;9.8;6.9;10.3;0.5;55.2;22.5;10.0;23.0;15.5;23.6;25.4;24.3;37.8;14.3;14.3;14.3;21.4;-0.6;1.2;8.7;6.9;10.3;0.5;14.7;13.7;4.1;8.9;21.4;-0.6;2.3;9.3;6.9;10.3;0.5;70.0;14.3;0.0;55.2;14.3;14.7;-0.6;2.3;9.3;6.9;10.3;0.5;70.0;14.3;0.0;55.2;14.3;13.6;70.0;-0.6;2.3;9.3;6.9;10.3;0.5;70.0;14.3;0.0;55.2;14.3;14.7;70.0;70.0
19;3.6;4.3;2.9;3.6;5.1;8.1;4.7;20.7;14.2;3.5;3.6;31.9;5.8;0.7;0.7;3.6;0.0;0.7;21.6;6.0;0.7;3.6;11.0;5.5;27.0;12.0;0.7;0.0;13.0;8.7;27.0;26.4;15.8;24.8;8.7;8.7;1.7;9.0;9.5;16.7;4.9;0.7;28.0;22.6;16.2;3.6;0.0;0.7;21.6;6.0;0.7;71.9;0.0;8.7;28.0;13.0;10.9;11.6;7.9;12.3;26.9;8.7;8.7;8.7;16.0;8.7;3.6;0.0;0.7;21.6;6.0;0.7;71.9;0.0;8.7;28.0;71.9;8.7;3.6;0.0;0.7;21.6;6.0;0.7;71.9;0.0;8.7;28.0;71.9;8.7;71.9;1.7;0.0;7.1;11.1;3.5;0.7;58.4;4.1;14.7;16.2;58.4;8.6;58.4;58.4
