combinacao;soma
[9 GS] - Gol Sofrido x [8 DD] - Defesa Difícil;8.958609659952277
[14 I] - Impedimento x [8 DD] - Defesa Difícil;8.959044437161381
[7 FT] - Finalização na Trave x [5 FC] - Falta Cometida;8.980536591761648
[8 DD] - Defesa Difícil x [4 CA] - Cartão Amarelo;9.017911338494962
[6 DS] - Desarme x [4 CA] - Cartão Amarelo;9.137238345573472
[5 FC] - Falta Cometida x [4 CA] - Cartão Amarelo;9.158956158253085
[14 I] - Impedimento x [13 A] - Assistência;9.228731975405173
[7 FT] - Finalização na Trave x [4 CA] - Cartão Amarelo;9.66045530742976
[14 I] - Impedimento x [5 FC] - Falta Cometida;9.850981131557942
[14 I] - Impedimento x [12 SG] - Saldo de Gols (sem sofrer gol);9.9624146862741
[15 CV] - Cartão Vermelho x [0 FF] - Finalização para Fora;10.002671608889493
[10 FD] - Finalização Defendida x [4 CA] - Cartão Amarelo;10.34744361654584
[15 CV] - Cartão Vermelho x [6 DS] - Desarme;10.527775038020364
[15 CV] - Cartão Vermelho x [8 DD] - Defesa Difícil;10.569889213793314
[15 CV] - Cartão Vermelho x [12 SG] - Saldo de Gols (sem sofrer gol);10.71969549668931
[15 CV] - Cartão Vermelho x [14 I] - Impedimento;11.18073693259274
[15 CV] - Cartão Vermelho x [5 FC] - Falta Cometida;11.377993021630976
[15 CV] - Cartão Vermelho x [13 A] - Assistência;12.035817081902147
[12 SG] - Saldo de Gols (sem sofrer gol) x [0 FF] - Finalização para Fora;12.079050449811225
[9 GS] - Gol Sofrido x [4 CA] - Cartão Amarelo;12.897800452759
[14 I] - Impedimento x [10 FD] - Finalização Defendida;13.56757124876586
[14 I] - Impedimento x [4 CA] - Cartão Amarelo;14.731745306758095
[15 CV] - Cartão Vermelho x [10 FD] - Finalização Defendida;15.394761240590029
[15 CV] - Cartão Vermelho x [4 CA] - Cartão Amarelo;16.809544200381524
