0;1;2;3;4;5
9.8;25.2;20.8;41.8;21.8;28.4
3.0;16.6;28.3;7.2;4.5;70.8
12.1;1.5;19.8;3.3;0.0;1.8
7.0;11.0;2.4;1.5;-5.5;2.4
5.9;25.4;8.9;12.4;-1.4;6.5
23.8;20.9;13.1;20.9;13.6;10.8
17.9;28.3;8.0;4.2;2.6;5.8
4.2;24.5;23.7;4.2;15.9;7.2
33.7;14.0;10.0;11.6;0.0;0.2
1.5;4.5;2.4;2.5;45.3;3.9
0.0;-1.6;-0.1;0.0;30.5;-0.1
0.0;22.0;14.8;8.0;10.4;14.8
0.3;-0.9;2.7;0.3;12.2;5.4
1.0;22.4;19.1;1.6;45.8;19.2
24.6;24.7;14.3;4.9;3.9;20.2
5.1;2.5;0.0;2.5;18.7;0.0
19.2;15.4;0.0;33.0;32.1;15.5
