;Unnamed: 0;atletas.nome;atletas.slug;atletas.apelido;atletas.foto;atletas.atleta_id;atletas.rodada_id;atletas.clube_id;atletas.posicao_id;atletas.status_id;atletas.pontos_num;atletas.preco_num;atletas.variacao_num;atletas.media_num;atletas.jogos_num;atletas.clube.id.full.name;A;DS;FC;FD;FF;FS;G;I;PI;CA;FT;SG;GC;GS;DD;DP;CV;PP;rodada
426;427;Mayke Rocha de Oliveira;mayke;Mayke;https://s.glbimg.com/es/sde/f/2019/01/14/44f0336a3733e2e3fb4fccc9cf275f3a_FORMATO.jpeg;81150;30;275;lat;Nulo;0.0;5.61;0.0;2.08;13;275;0.0;28.0;13.0;0.0;2.0;10.0;0.0;1.0;65.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;rodada-30.csv
427;428;Muriel Gustavo Becker;muriel;Muriel;https://s.glbimg.com/es/sde/f/2020/08/11/37c640ec0cd77c476e2aeef745c5420f_FORMATO.png;69041;30;266;gol;Nulo;0.0;4.62;0.0;2.36;19;266;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;140.0;0.0;0.0;4.0;0.0;20.0;19.0;0.0;0.0;0.0;rodada-30.csv
428;429;Gabriel Davi Gomes Sara;gabriel-sara;Gabriel Sara;https://s.glbimg.com/es/sde/f/2020/11/05/d6c6115b5a030607c5a349c3c7265105_FORMATO.png;100763;30;276;mei;Dúvida;-1.7;4.06;-1.06;2.76;24;276;1.0;29.0;27.0;7.0;24.0;28.0;4.0;5.0;156.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
429;430;Guilherme da Silva Azevedo;guilherme-azevedo;Guilherme Azevedo;https://s.glbimg.com/es/sde/f/2020/07/19/756f7ee69aa8fccdfd44fbbf534a60a0_FORMATO.png;105837;30;284;ata;Nulo;0.0;1.74;0.0;1.4;7;284;0.0;4.0;2.0;2.0;2.0;8.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
430;431;Daniel Alves da Silva;daniel-alves;Daniel Alves;https://s.glbimg.com/es/sde/f/2020/03/09/9996d55cd79f9deac2e370cbb20e3d36_FORMATO.png;38939;30;276;mei;Provável;-0.7;9.99;-0.15;1.49;19;276;2.0;34.0;41.0;4.0;18.0;35.0;1.0;5.0;234.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
431;432;Laércio Soldá;laercio;Laércio;https://s.glbimg.com/es/sde/f/2020/10/13/cc2746f464476a7f9908dbc251d225ff_FORMATO.png;82564;30;277;zag;Dúvida;-0.8;2.24;-0.77;1.13;9;Santos;0.0;13.0;14.0;0.0;4.0;2.0;0.0;0.0;30.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
432;433;Vanderlei Luxemburgo da Silva;vanderlei-luxemburgo;Vanderlei Luxemburgo;https://s.glbimg.com/es/sde/f/2020/12/31/a8308071841710b7b43c3c0f28ff6113_FORMATO.png;41327;30;267;tec;Provável;0.53;9.77;-1.07;3.54;17;267;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
433;434;Reinaldo Manoel da Silva;reinaldo;Reinaldo;https://s.glbimg.com/es/sde/f/2019/04/01/6d2d1a24cd6dbf9313e0b6efedc5c055_FORMATO.png;78850;30;276;lat;Provável;4.5;14.08;0.73;4.82;23;276;4.0;45.0;26.0;10.0;9.0;25.0;4.0;0.0;289.0;3.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
434;435;Wanderley de Jesus Sousa;derley;Derley;https://s.glbimg.com/es/sde/f/2019/03/22/38fbbc852eaf7ac63811890c98f9ee2a_FORMATO.png;60791;30;356;mei;Nulo;0.0;2.14;0.0;-0.44;5;356;0.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
435;436;Iago Pereira Mendonça;iago-mendonca;Iago Mendonça;https://s.glbimg.com/es/sde/f/2020/03/06/fbe3c389c73e71007b15dec8b347a229_FORMATO.png;105278;30;290;zag;Nulo;0.0;0.78;0.0;2.5;3;290;0.0;8.0;6.0;1.0;2.0;0.0;0.0;0.0;13.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;rodada-30.csv
