;0;1;2;3;4;5
0;29.5;15.6;4.8;24.2;11.3;26.3
1;11.0;15.0;32.8;15.1;26.4;36.9
2;9.3;12.5;2.4;16.8;3.3;0.9
3;6.0;16.9;4.7;2.4;-2.6;-0.8
