combinacao;soma
[3 PI] - Passe Incompleto x [2 G] - Gol;0.0
[7 FT] - Finalização na Trave x [2 G] - Gol;18.0
[7 FT] - Finalização na Trave x [3 PI] - Passe Incompleto;18.0
[13 A] - Assistência x [2 G] - Gol;18.0
[13 A] - Assistência x [3 PI] - Passe Incompleto;18.0
[13 A] - Assistência x [7 FT] - Finalização na Trave;18.0
