combinacao;soma
[14 I] - Impedimento x [8 DD] - Defesa Difícil;3.7269093675258262
[1 FS] - Falta Sofrida x [0 FF] - Finalização para Fora;3.8008316853799133
[15 CV] - Cartão Vermelho x [8 DD] - Defesa Difícil;3.8369250728150797
[12 SG] - Saldo de Gols (sem sofrer gol) x [0 FF] - Finalização para Fora;3.985767935958654
[15 CV] - Cartão Vermelho x [5 FC] - Falta Cometida;4.137224267505111
[9 GS] - Gol Sofrido x [4 CA] - Cartão Amarelo;4.252659689153605
[13 A] - Assistência x [0 FF] - Finalização para Fora;4.424257293913212
[14 I] - Impedimento x [4 CA] - Cartão Amarelo;5.05515679224571
[14 I] - Impedimento x [9 GS] - Gol Sofrido;5.122128326628011
[14 I] - Impedimento x [2 G] - Gol;5.225889550014402
[10 FD] - Finalização Defendida x [0 FF] - Finalização para Fora;5.328202082910122
[15 CV] - Cartão Vermelho x [9 GS] - Gol Sofrido;5.746308969972284
[14 I] - Impedimento x [12 SG] - Saldo de Gols (sem sofrer gol);6.110972775381199
[12 SG] - Saldo de Gols (sem sofrer gol) x [10 FD] - Finalização Defendida;6.165992993263945
[15 CV] - Cartão Vermelho x [4 CA] - Cartão Amarelo;6.587034203043556
[13 A] - Assistência x [10 FD] - Finalização Defendida;6.665702850997636
[15 CV] - Cartão Vermelho x [2 G] - Gol;6.800237178266008
[15 CV] - Cartão Vermelho x [12 SG] - Saldo de Gols (sem sofrer gol);6.869256665907045
[14 I] - Impedimento x [0 FF] - Finalização para Fora;9.980755278396352
[14 I] - Impedimento x [13 A] - Assistência;11.213497326362269
[14 I] - Impedimento x [10 FD] - Finalização Defendida;11.369027479921229
[15 CV] - Cartão Vermelho x [14 I] - Impedimento;12.505548682972126
[15 CV] - Cartão Vermelho x [13 A] - Assistência;13.193203102135735
[15 CV] - Cartão Vermelho x [0 FF] - Finalização para Fora;13.922028212790902
[15 CV] - Cartão Vermelho x [10 FD] - Finalização Defendida;14.547798557303986
