;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104
10;5.5;3.3;5.5;3.3;-0.1;0.0;17.5;8.4;9.0;3.1;3.3;-0.1;0.0;30.5;3.1;3.3;6.1;3.3;3.3;3.1;8.7;3.2;-0.1;-1.6;-0.1;1.7;-0.1;4.7;5.0;12.8;8.7;5.4;13.0;5.4;5.4;-1.1;6.5;5.3;12.6;17.7;1.0;22.3;7.1;0.5;6.8;3.3;12.5;3.3;0.2;13.6;0.2;3.3;-4.7;8.7;11.7;3.3;-0.1;0.0;30.5;3.1;68.6;8.7;-0.1;5.4;22.3;0.2;3.3;-0.1;0.0;30.5;3.1;68.6;8.7;-0.1;5.4;22.3;0.2;68.6;3.3;-0.1;0.0;30.5;3.1;55.8;3.3;-0.1;1.7;22.3;0.2;55.8;55.8;3.3;-0.1;0.0;30.5;3.1;68.6;8.7;-0.1;5.4;22.3;0.2;68.6;68.6;55.8
11;0.0;0.0;0.0;0.0;31.4;0.0;0.5;0.5;8.8;0.0;0.0;36.9;0.0;20.5;0.5;0.0;67.0;0.0;31.4;0.5;36.9;14.8;5.2;22.0;14.8;23.2;4.9;5.2;0.0;67.0;0.0;31.4;0.5;36.9;67.0;5.2;4.3;1.0;4.8;1.0;0.0;0.3;1.0;14.7;1.0;14.8;5.2;24.2;7.1;14.8;7.1;5.2;5.2;5.2;14.7;7.5;18.4;7.5;5.3;9.2;8.5;18.4;20.3;18.4;7.6;20.6;17.6;17.4;8.0;10.4;17.8;7.5;17.4;14.8;17.4;21.0;5.2;17.4;0.0;67.0;0.0;31.4;0.5;36.9;67.0;5.2;67.0;1.0;5.2;18.4;17.4;0.0;59.0;0.0;31.4;0.5;32.6;59.0;5.2;59.0;1.0;5.2;10.9;9.9;59.0
12;-3.0;-3.0;-3.0;7.7;54.8;0.3;7.2;7.8;2.6;2.9;-3.0;41.9;-3.0;36.6;7.8;-3.0;58.4;-3.0;54.8;7.8;41.9;0.2;1.6;-0.9;2.7;9.5;3.2;1.6;-3.0;58.4;-3.0;54.8;7.8;41.9;58.4;1.6;-0.5;7.7;-0.4;6.2;0.0;7.4;7.7;7.0;7.7;0.2;1.6;-2.1;24.4;7.0;3.8;1.6;1.6;1.6;7.0;-3.0;58.4;-3.0;54.8;7.8;41.9;58.4;1.6;58.4;7.7;1.6;-1.4;11.1;0.3;12.2;9.4;0.0;11.1;5.4;11.1;13.7;3.8;11.1;-3.0;58.4;-3.0;52.6;7.8;36.8;58.4;1.6;58.4;7.7;1.6;58.4;8.9;-3.0;58.4;-3.0;54.8;7.8;39.7;58.4;1.6;58.4;7.7;1.6;58.4;11.1;58.4
13;4.7;1.6;4.7;2.2;3.1;1.0;-1.7;11.0;-4.2;21.1;4.0;19.7;9.5;0.5;2.9;40.4;26.4;24.3;42.0;27.8;26.7;47.2;23.9;22.4;19.1;19.1;21.5;19.2;9.6;15.6;12.5;9.0;15.3;20.3;26.2;33.6;1.6;3.1;1.6;33.5;26.5;3.4;19.2;19.2;7.0;1.6;3.1;1.6;45.8;38.4;3.4;19.2;19.2;7.0;72.6;1.6;3.1;1.6;45.8;38.4;3.4;19.2;19.2;7.0;72.6;77.3;1.6;3.1;1.6;45.8;38.4;3.4;19.2;19.2;7.0;72.6;77.3;77.3;1.6;3.1;1.6;45.8;38.4;3.4;19.2;19.2;7.0;72.6;77.3;77.3;77.3;1.6;3.1;1.6;45.8;37.9;1.0;19.2;19.2;7.0;72.6;77.3;77.3;77.3;77.3
14;16.4;17.4;8.9;0.0;14.9;24.6;20.2;4.7;20.9;0.0;9.9;4.0;23.2;0.0;0.0;22.4;2.5;4.9;3.9;0.0;0.0;14.8;21.8;24.7;14.3;11.7;8.2;20.2;0.0;10.2;17.4;27.1;14.6;3.6;0.0;2.3;20.9;2.5;7.4;3.9;0.0;0.0;38.0;9.6;0.0;21.1;15.4;20.0;7.6;-0.8;3.7;7.8;8.3;0.0;-0.8;22.4;2.5;4.9;3.9;0.0;0.0;63.3;20.2;0.0;38.0;7.8;22.4;2.5;4.9;3.9;0.0;0.0;63.3;20.2;0.0;38.0;7.8;63.3;22.4;2.5;4.9;3.9;0.0;0.0;63.3;20.2;0.0;34.2;7.8;63.3;63.3;22.4;2.5;4.9;3.9;0.0;0.0;63.3;20.2;0.0;38.0;7.8;63.3;63.3;63.3
15;8.2;2.5;8.2;0.5;13.8;5.1;2.5;9.5;5.1;14.9;2.5;8.2;2.5;18.7;14.9;2.5;5.7;2.5;5.7;5.4;0.0;2.5;5.7;2.5;0.0;0.0;0.0;-1.8;14.1;15.0;9.7;11.1;23.5;9.3;9.3;7.5;2.5;5.7;2.5;18.7;14.9;45.3;0.0;0.0;9.3;5.0;22.1;18.9;0.0;0.0;0.0;16.4;18.8;9.3;18.8;17.5;15.0;14.6;46.8;29.7;23.3;9.3;17.5;9.3;16.0;28.1;2.5;5.7;2.5;18.7;14.9;45.3;0.0;0.0;9.3;73.9;18.8;16.0;2.5;5.7;2.5;18.7;14.9;45.3;0.0;0.0;9.3;73.9;18.8;16.0;73.9;2.5;5.7;2.5;18.7;14.9;45.3;0.0;0.0;9.3;73.9;18.8;16.0;73.9;73.9
16;14.4;12.5;18.2;10.8;10.0;19.2;10.2;6.1;16.3;0.0;8.8;5.9;20.9;0.0;0.0;12.5;1.4;12.5;19.0;0.0;0.0;15.4;5.9;15.4;0.0;0.0;0.0;0.0;12.5;1.4;12.5;19.0;0.0;0.0;91.5;0.0;12.5;1.4;12.5;19.0;0.0;0.0;91.5;0.0;91.5;47.1;24.3;51.5;39.1;31.6;16.5;16.5;21.4;16.5;16.5;11.8;7.8;18.9;6.3;0.0;0.0;8.1;13.8;8.1;8.1;27.2;29.1;21.9;33.0;32.1;30.3;18.4;16.5;15.5;16.5;16.5;16.5;31.0;12.5;1.4;12.5;19.0;0.0;0.0;58.8;0.0;58.8;58.8;48.9;24.4;16.3;12.5;1.4;12.5;19.0;0.0;0.0;91.5;0.0;91.5;91.5;16.5;8.1;16.5;58.8
17;9.5;12.6;5.3;6.5;8.0;17.8;13.8;3.4;11.4;0.0;18.1;5.3;10.0;0.0;0.0;8.0;2.2;3.1;2.7;5.8;0.0;20.0;21.2;16.6;11.6;11.4;15.4;12.0;20.0;14.2;16.6;13.0;12.5;12.0;12.0;12.0;8.0;2.2;3.1;2.7;5.8;0.0;54.6;12.0;12.0;8.0;10.7;29.9;12.0;25.8;13.3;8.0;20.0;20.0;8.0;6.4;0.6;3.1;2.7;-4.2;0.0;-5.8;12.0;12.0;-4.2;2.2;8.0;2.2;3.1;2.7;5.8;0.0;64.1;12.0;12.0;54.6;8.0;-5.8;8.0;2.2;3.1;2.7;5.8;0.0;64.1;12.0;12.0;54.6;8.0;-5.8;64.1;8.0;2.2;3.1;2.7;5.8;0.0;64.1;12.0;12.0;54.6;8.0;-5.8;64.1;64.1
18;2.0;-0.7;2.8;23.2;24.4;13.2;-0.2;9.9;5.1;2.1;-4.0;18.4;12.1;0.0;0.0;-0.7;0.0;-0.7;25.9;7.8;0.8;-4.1;-3.8;-4.9;23.2;12.2;9.9;-4.6;14.3;6.4;6.5;23.5;6.4;16.2;5.6;1.0;-0.7;0.0;-0.7;21.2;4.5;0.8;66.3;-4.6;5.6;0.9;12.6;-1.2;12.2;21.7;6.7;-4.6;-4.6;1.0;-4.6;-0.2;0.0;-0.2;0.5;0.5;1.3;1.0;-4.1;5.6;0.5;-3.6;-0.7;1.6;0.9;25.9;7.8;0.8;1.6;-3.0;7.2;1.6;-3.0;2.6;-0.7;0.0;-0.7;25.9;7.3;0.8;69.8;-4.6;5.6;66.3;-4.6;0.5;0.0;-0.7;0.0;-0.7;25.9;7.8;0.8;69.8;-4.6;5.6;66.3;-4.6;1.0;1.6;69.8
19;7.6;0.0;11.8;3.1;11.8;4.8;0.4;20.4;6.9;9.7;-0.2;5.8;1.5;0.0;0.0;-0.7;4.3;0.0;32.1;12.2;0.0;2.4;25.5;3.1;26.7;12.9;17.5;0.0;-0.5;8.5;8.1;1.9;4.7;6.9;0.0;0.0;-0.7;6.7;2.9;10.3;3.3;0.0;25.6;3.1;-0.5;-0.7;4.3;0.0;32.1;12.2;0.0;69.7;0.0;0.0;25.6;10.3;8.5;7.9;4.2;0.7;1.1;0.0;0.0;4.2;5.3;0.0;-0.7;4.3;0.0;32.1;12.2;0.0;69.7;0.0;0.0;25.6;69.7;0.0;-0.7;4.3;0.0;32.1;12.2;0.0;69.7;0.0;0.0;25.6;69.7;0.0;69.7;-0.7;4.3;0.0;32.1;9.7;0.0;53.1;0.0;-1.2;25.2;53.1;0.0;53.1;53.1
20;17.8;10.4;9.9;17.6;2.4;5.2;17.6;2.4;9.4;0.0;18.9;3.6;9.4;0.0;11.9;15.5;13.0;8.5;17.1;10.3;10.6;4.2;16.5;13.1;12.0;47.7;27.0;14.9;4.2;30.8;5.9;4.2;2.8;4.2;11.7;4.2;17.6;2.4;17.9;0.0;0.0;0.0;17.3;27.5;4.2;4.2;8.0;1.6;0.0;34.2;13.2;7.4;4.2;4.2;0.0;4.2;8.0;1.6;0.0;34.2;13.2;7.4;4.2;4.2;0.0;69.9;4.2;8.0;1.6;0.0;34.2;13.2;7.4;4.2;4.2;0.0;69.9;69.9;8.7;8.0;1.6;0.0;34.2;13.2;7.4;9.4;4.3;0.0;69.9;69.9;69.9;4.2;8.0;1.6;0.0;34.2;13.2;7.4;4.2;4.2;0.0;62.6;62.6;62.6;62.6
21;7.3;0.0;6.5;-3.1;2.3;-0.7;5.0;10.0;-1.6;9.9;-5.9;9.1;3.9;0.0;0.2;6.2;15.5;2.2;23.2;16.0;1.1;-3.0;2.9;6.6;-1.2;11.2;0.7;-0.6;3.6;7.1;8.9;4.9;8.5;7.7;0.7;7.4;-1.6;0.0;-1.6;22.4;29.4;0.2;0.7;0.8;1.6;-1.6;0.0;0.0;26.1;30.6;0.2;-0.6;-0.6;1.3;45.6;-1.6;0.0;0.0;26.1;30.6;0.2;-0.6;-0.6;1.3;45.6;59.2;-1.6;0.0;0.0;26.1;30.6;0.2;-0.6;-0.6;1.3;45.6;59.2;59.2;-1.6;0.0;0.0;26.1;30.6;0.2;-0.6;-0.6;1.3;45.6;49.6;49.6;49.6;-1.6;0.0;0.0;26.1;30.6;0.2;-0.6;-0.6;1.3;45.6;59.2;59.2;59.2;49.6
22;7.0;5.0;5.4;0.4;8.2;5.1;0.4;-0.4;3.8;3.2;-0.9;4.3;3.8;2.8;20.5;0.0;5.4;3.3;1.9;0.0;3.3;3.6;3.2;3.6;6.8;2.7;3.6;3.6;-2.4;-2.5;4.8;4.4;10.0;11.7;-1.2;15.0;-2.4;-0.4;0.0;3.2;22.4;22.3;0.0;3.6;-2.4;-2.4;0.9;-2.4;11.4;-3.4;1.5;-2.4;0.2;-2.4;-2.4;-2.4;-0.4;0.0;3.2;22.4;22.3;0.0;3.6;-2.4;52.5;-2.4;-2.4;-0.4;0.0;3.2;22.4;22.3;0.0;3.6;-2.4;52.5;-2.4;52.5;-2.4;-0.4;0.0;3.2;22.4;22.3;0.0;3.6;-2.4;52.5;-2.4;52.5;52.5;-2.4;-0.4;0.0;3.2;22.4;22.3;0.0;3.6;-2.4;52.5;-2.4;52.5;52.5;52.5
23;3.0;-3.2;6.2;-3.2;9.9;-2.2;-3.2;13.6;8.9;13.2;-3.2;16.5;2.7;0.0;0.0;12.2;19.8;15.4;15.1;17.7;23.3;-3.2;6.2;0.0;29.9;19.5;0.0;6.7;-3.2;6.2;0.0;29.9;19.5;0.0;6.7;63.3;-3.2;6.2;0.0;29.9;19.5;0.0;6.7;63.3;63.3;0.9;6.2;6.6;4.9;24.6;22.2;22.7;1.0;1.0;1.0;2.4;8.7;5.6;3.7;3.7;3.7;9.2;6.2;6.2;6.2;3.5;-7.5;5.3;-0.9;-4.3;19.5;0.0;5.8;-5.2;-5.2;-5.2;0.1;1.0;-3.2;6.2;0.0;29.9;19.5;0.0;6.7;63.3;63.3;63.3;1.0;6.2;-5.2;-3.2;6.2;0.0;27.0;19.5;0.0;6.7;60.2;60.2;60.2;4.0;6.2;-4.3;60.2
